symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
DMART,2021-11-15,2021-12-27,5078.5498046875,4628.89990234375,-0.0885390356768232,42,Retail,LONG,
LODHA,2021-12-27,2022-01-03,619.1302490234375,612.8455810546875,-0.010150801028802725,7,Real Estate,LONG,
DIXON,2021-12-27,2022-01-03,5412.880859375,5498.86376953125,0.01588487025487173,7,Capital Goods,LONG,
JUNIORBEES,2021-12-27,2022-01-03,436.3299865722656,443.82000732421875,0.01716595462712389,7,Other,LONG,
HCLTECH,2021-12-27,2022-01-03,1067.5625,1113.04296875,0.042602160295064584,7,IT,LONG,
ABB,2021-12-27,2022-01-03,2203.8447265625,2193.093017578125,-0.004878614566074857,7,Capital Goods,LONG,
COFORGE,2021-12-27,2022-01-03,1069.7542724609375,1116.1307373046875,0.04335244648012693,7,IT,LONG,
SBIN,2021-12-20,2022-01-03,435.63201904296875,428.7874755859375,-0.015711754778879428,14,Financials,LONG,
NV20BEES,2021-12-27,2022-01-03,98.63999938964844,100.94000244140625,0.02331714381578931,7,Other,LONG,
TATAELXSI,2021-08-23,2022-01-03,4575.1318359375,5672.75439453125,0.23991058573918322,133,IT,LONG,
DEEPAKNTR,2022-01-03,2022-01-10,2454.818603515625,2497.40478515625,0.017347995318120812,7,Chemicals,LONG,
SUNPHARMA,2021-12-27,2022-01-10,749.5136108398438,791.07373046875,0.055449452855615755,14,Pharma,LONG,
ITBEES,2021-12-06,2022-01-10,36.7599983215332,39.04999923706055,0.062296001634633225,35,Other,LONG,
TATACOMM,2022-01-03,2022-01-10,1380.2076416015625,1378.935302734375,-0.0009218459808779667,7,Telecom,LONG,
NHPC,2022-01-03,2022-01-10,26.214250564575195,26.426000595092773,0.008077668670937621,7,Utilities,LONG,
POWERGRID,2022-01-03,2022-01-10,124.81005859375,125.29855346679688,0.00391390628728816,7,Utilities,LONG,
TITAN,2022-01-03,2022-01-17,2489.726806640625,2559.16552734375,0.027890096422594324,14,Consumer Disc.,LONG,
GRASIM,2022-01-03,2022-01-17,1585.1412353515625,1814.814453125,0.1448913274421879,14,Cement,LONG,
LTIM,2021-11-15,2022-01-17,6898.541015625,6741.48828125,-0.022766079670944905,63,IT,LONG,
BAJFINANCE,2022-01-10,2022-01-17,751.4942016601562,768.4532470703125,0.02256710081420632,7,Financials,LONG,
NBCC,2022-01-10,2022-01-17,32.13645935058594,34.1190071105957,0.06169154287911982,7,Industrials,LONG,
NV20BEES,2022-01-10,2022-01-17,101.36000061035156,104.31999969482422,0.029202832149256785,7,Other,LONG,
SBIN,2022-01-10,2022-01-17,457.4695129394531,473.3936462402344,0.034809168371595645,7,Financials,LONG,
EICHERMOT,2022-01-10,2022-01-17,2709.552490234375,2705.04345703125,-0.0016641246919467667,7,Auto,LONG,
HINDALCO,2021-12-27,2022-01-17,445.93389892578125,492.043212890625,0.10339943672350849,21,Metals,LONG,
